Group,Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
08SpannerWeaklyCorrelated,s001.kp,200,23774,60080,23770,144,False,180.0640,TIME_LIMIT
08SpannerWeaklyCorrelated,s000.kp,500,100079,98713,100076,241,False,180.0401,TIME_LIMIT
08SpannerWeaklyCorrelated,s001.kp,500,64615,145888,64611,352,False,180.0400,TIME_LIMIT
08SpannerWeaklyCorrelated,s000.kp,1000,198695,196050,198664,462,False,179.9891,TIME_LIMIT
08SpannerWeaklyCorrelated,s001.kp,1000,125509,277084,125478,694,False,180.0273,TIME_LIMIT
08SpannerWeaklyCorrelated,s000.kp,2000,397184,391950,397176,929,False,180.0158,TIME_LIMIT
08SpannerWeaklyCorrelated,s001.kp,2000,241910,587212,241874,1411,False,180.0215,TIME_LIMIT
08SpannerWeaklyCorrelated,s000.kp,5000,977374,964500,977360,2335,False,180.0145,TIME_LIMIT
08SpannerWeaklyCorrelated,s001.kp,5000,598731,1464912,598674,3551,False,180.0219,TIME_LIMIT
09SpannerStronglyCorrelated,s000.kp,50,11546,28440,11540,22,False,180.0071,TIME_LIMIT
09SpannerStronglyCorrelated,s001.kp,50,6514,27261,6461,35,True,3.2354,OPTIMAL
09SpannerStronglyCorrelated,s000.kp,100,20956,51656,20956,53,True,36.0262,OPTIMAL
09SpannerStronglyCorrelated,s001.kp,100,12009,49204,12004,67,False,180.0817,TIME_LIMIT
09SpannerStronglyCorrelated,s000.kp,200,41289,101888,41288,101,False,180.0261,TIME_LIMIT
09SpannerStronglyCorrelated,s001.kp,200,23707,104200,23700,143,False,179.3951,TIME_LIMIT
09SpannerStronglyCorrelated,s000.kp,500,99998,245128,99928,258,False,180.0204,TIME_LIMIT
09SpannerStronglyCorrelated,s001.kp,500,64586,263953,64553,353,False,180.0323,TIME_LIMIT
09SpannerStronglyCorrelated,s000.kp,1000,198807,488672,198772,527,False,180.0188,TIME_LIMIT
09SpannerStronglyCorrelated,s001.kp,1000,125509,504878,125478,694,False,180.0211,TIME_LIMIT
09SpannerStronglyCorrelated,s000.kp,2000,397271,979064,397264,1047,False,180.0077,TIME_LIMIT
09SpannerStronglyCorrelated,s001.kp,2000,241940,1030634,241934,1411,False,180.0190,TIME_LIMIT
09SpannerStronglyCorrelated,s000.kp,5000,977299,2409352,977252,2607,False,180.0074,TIME_LIMIT
09SpannerStronglyCorrelated,s001.kp,5000,598767,2562546,598746,3551,False,180.0137,TIME_LIMIT
10MultipleStronglyCorrelated,s000.kp,50,14238,21338,14238,33,True,0.0085,OPTIMAL
10MultipleStronglyCorrelated,s001.kp,50,11790,19390,11790,35,True,0.5168,OPTIMAL
10MultipleStronglyCorrelated,s000.kp,100,29016,43316,29016,65,True,4.3873,OPTIMAL
10MultipleStronglyCorrelated,s001.kp,100,25386,40686,25386,69,True,0.0215,OPTIMAL
10MultipleStronglyCorrelated,s000.kp,200,51558,81658,51558,136,True,67.7703,OPTIMAL
10MultipleStronglyCorrelated,s001.kp,200,48102,79202,48102,139,True,11.4546,OPTIMAL
10MultipleStronglyCorrelated,s000.kp,500,127278,203778,127278,342,False,180.0285,TIME_LIMIT
10MultipleStronglyCorrelated,s001.kp,500,123762,201662,123762,348,True,108.2195,OPTIMAL
10MultipleStronglyCorrelated,s000.kp,1000,245970,399170,245970,693,False,180.0071,TIME_LIMIT
10MultipleStronglyCorrelated,s001.kp,1000,254772,409472,254772,687,False,180.0042,TIME_LIMIT
10MultipleStronglyCorrelated,s000.kp,2000,498450,806150,498450,1382,False,180.0183,TIME_LIMIT
10MultipleStronglyCorrelated,s001.kp,2000,497844,807944,497844,1386,False,180.0117,TIME_LIMIT
10MultipleStronglyCorrelated,s000.kp,5000,1249254,2019632,1249132,3449,False,180.0067,TIME_LIMIT
10MultipleStronglyCorrelated,s001.kp,5000,1240980,2017049,1240849,3475,False,180.0265,TIME_LIMIT
11ProfitCeiling,s000.kp,50,14239,14229,14238,24,True,3.9403,OPTIMAL
11ProfitCeiling,s001.kp,50,11793,11784,11792,23,True,0.0985,OPTIMAL
11ProfitCeiling,s000.kp,100,29017,29001,29015,46,False,180.0330,TIME_LIMIT
11ProfitCeiling,s001.kp,100,25391,25377,25390,44,True,46.3371,OPTIMAL
11ProfitCeiling,s000.kp,200,51563,51540,51562,84,False,180.0346,TIME_LIMIT
11ProfitCeiling,s001.kp,200,48106,48087,48105,92,False,180.0176,TIME_LIMIT
